capital_city,most_popular_nightlife_area,top_visited_tourist_attraction,tourist_attraction_region
Amsterdam,Leidseplein square,Anne frank house,North holland
Andorra la Vella,Avenue meritxell,Casa de la vall,Pyrenees
Ankara,Beyoglu street,Hagia sophia (aya sofya) mosque,Istanbul/constantinople region
Athens,Panormou street,The acropolis,Attica
Baku,Isr plaza,Heydar aliyev center,South caucasus
Belgrade,"Skadarlija, the bohemian quarter",Belgrade fortress,Belegrade administrative region
Berlin,Weserstraße,The rebuilt reichstag,Land berlin
Bern,Langstrasse district,"Jungfraujoch, mountain peak",Zürich district
Bratislava,Old town center,Bratislava castle,Bratislava region
Brussels,Rue d'aerschot street,Grand place,Brussels-capital
Bucharest,Centrul vechi (the old town),Stavropoleos monastery,Bucharest municipality
Budapest,The budapest party district,Buda castle,Central hungary
Chișinău,Marlène,Valea morilor park,Balkan
City of San Marino,Freedom square center,Guaita fortress,N/a
Copenhagen,Vestergade street,Tivoli gardens,Capital region of denmark
Dublin,O'connell street,Guiness storehouse,Dublin region
Helsinki,City centre,Suomenlinna,Uusimaa
Kiev,Arena city - kiev,Saint sophia cathedral,Kyiv oblast
Lisbon,Bairro alto district,Mosteiro dos jeronimos,Lisbon region
Ljubljana,Metelkova city area,Ljubljana castle,Ljubljana urban region
London,Soho. london's west end,Windsor castle,Greater london region
Luxembourg,The rives de clausen,Palais grand-ducal,N/a
Madrid,"Malasaña neighborhood, important note ibiza city",La sagrada familia,Madrid provincia
Minsk,Zybitskaya street,State museum of the history of the great patriotic war,Minsk region
Monaco,Monaco downtown,Casino de monte-carlo,"Principality of monaco, city-state"
Moscow,Bolotnaya naberejnaya square,Kremlin,Moscow oblast
Nicosia,Ledra street,Cyprus classic motorcycle museum,Nicosia district
Oslo,Oslo downtown,Fram museum,Oslo metro
Paris,Pigalle,Eiffel tower,Île-de-france
Podgorica,Budva old town,Ostrog orthodox monastery,Central region
Prague,Staré město,Prague castle,Capital city of prague
Pristina,Bulevardi nënë tereza,Muzeu etnologjik,Balkan
Reykjavík,Laugavegur,Northern lights tour,Capital region
Riga,Albert street,Vecriga,Rīgas plānošanas
Rome,Monti,Colosseum,Lazio
Sarajevo,Baščaršija neighborhood,Baščaršija neighborhood,Sarajevo canton
Skopje,The old bazaar/ turkish bazaar,Old bazaar,Greater skopje
Sofia,Vitosha boulevard,Alexander nevsky cathedral,Sofia city province
Stockholm,Stureplan area,Gamla stan - nature outside of capital,Stockholm region
Tallinn,Kalamaja district,Old town,Harju county
Tbilisi,Freedom square,Holy trinity cathedral of tbilisi,Tbilisi
Tirana,Blloku,"Bunk'art, bunker",Tirana region
Vaduz,Aeulestrasse 45,Vaduz castle,Unterland
Valletta,Paceville,Barrakka gardens,Reġjun xlokk
Vatican City,N/a - rome,Vatican,Vatican city
Vienna,Bermuda dreieck,Schönbrunn palace,Vienna region
Vilnius,Islandijos street,Gediminas castle tower,Dzūkija
Warsaw,Plac zbawiciela (savior square),Auschwitz-birkenau camps,Mazowieckie województwo province
Yerevan,Tumanyan streets,Republic square,Ararat
Zagreb,tkalciceva street,Park maksimir,City of zagreb administrative unit
